user_id,total_spent,avg_transaction_amount,num_transactions,max_transaction_amount,min_transaction_amount,unique_merchants,avg_daily_transactions,spent_on_purchase,spent_on_transfer,spent_on_withdrawal,cluster
user_0000,53625.86,993.0714814814814,54,1936.88,26.16,7,0.1396011396011396,22027.84,17630.63,13967.39,1
user_0001,48763.97,1037.5312765957447,47,6814.54,24.31,7,0.125,21870.19,19010.41,7883.370000000001,5
user_0002,38043.21,1028.194864864865,37,1997.92,8.54,7,0.10240963855421686,8476.47,15102.7,14464.04,3
user_0003,41008.14,976.3842857142857,42,1953.92,16.65,7,0.10584958217270195,12758.17,11416.45,16833.52,3
user_0004,43663.06,949.196956521739,46,1989.09,11.11,7,0.12146892655367232,6986.25,25212.08,11464.73,3
user_0005,59133.36,985.556,60,1993.91,16.32,7,0.1534090909090909,13883.86,28394.45,16855.05,0
user_0006,54275.340000000004,1154.7944680851065,47,4926.08,24.04,7,0.13157894736842105,15279.24,22087.97,16908.13,5
user_0007,49638.72,1056.1429787234042,47,1993.68,69.76,7,0.12,16151.67,25708.72,7778.33,2
user_0008,65574.41,1130.593275862069,58,1958.59,56.82,7,0.14804469273743018,26850.72,23317.53,15406.16,0
user_0009,48030.15,980.2071428571429,49,1950.02,36.66,7,0.13259668508287292,17575.27,14445.61,16009.27,1
user_0010,51272.13,1068.169375,48,1988.77,54.82,7,0.12753623188405797,20969.28,15783.95,14518.9,1
user_0011,68228.98,1118.5078688524588,61,4474.28,30.93,7,0.1657142857142857,22772.09,19470.44,25986.45,0
user_0012,40186.37,980.1553658536586,41,2875.2,10.26,7,0.1111111111111111,8531.46,16897.45,14757.46,3
user_0013,60905.36,1127.877037037037,54,4342.0,13.94,7,0.138328530259366,12964.29,28057.48,19883.59,0
user_0014,55200.88,1126.5485714285714,49,4359.35,27.62,7,0.13068181818181818,16287.789999999999,12188.07,26725.02,5
user_0015,53155.01,916.4656896551725,58,1991.68,49.21,7,0.15056818181818182,11686.79,17725.71,23742.51,1
user_0016,58085.3,1117.025,52,4248.22,27.66,7,0.14076246334310852,18463.739999999998,19154.06,20467.5,0
user_0017,40119.09,872.1541304347826,46,1977.75,56.74,7,0.119533527696793,17376.48,8869.64,13872.97,3
user_0018,54890.46,998.0083636363636,55,1940.89,41.5,7,0.14606741573033707,17105.08,20479.68,17305.7,1
user_0019,59598.55,1124.5009433962264,53,3098.89,122.06,7,0.13314447592067988,20167.81,23438.22,15992.52,2
user_0020,63816.78,1329.51625,48,7541.25,103.48,7,0.12742382271468145,23760.14,23814.71,16241.93,5
user_0021,47035.61,922.266862745098,51,1929.16,15.74,7,0.1361111111111111,15925.47,11470.95,19639.19,1
user_0022,55886.89,1074.7478846153847,52,1963.1,13.73,7,0.12672176308539945,18383.64,18564.37,18938.88,1
user_0023,60842.94,1267.56125,48,9649.2,9.23,7,0.13675213675213677,16805.09,18016.03,26021.82,5
user_0024,33188.73,976.1391176470589,34,1909.85,124.66,7,0.09253731343283582,13735.24,9137.68,10315.81,3
user_0025,52184.43,948.8078181818182,55,1988.08,7.23,7,0.14029850746268657,15838.18,17940.77,18405.48,1
